X-Coordinate,Y-Coordinate,Diameter,Angle-Psi,Origin X (Ang),Origin Y (Ang),Defocus U,Defocus V,Defocus Angle,Phase Shift,CTF B Factor
2417,391,142,161.632645,0.0,-3.16056,11031.246094,10629.262695,-3.544348,0.0,0.0
2779,924,142,337.959167,0.0,0.0,11094.451172,10692.467773,-3.544348,0.0,0.0
2004,3177,142,58.775509,0.0,0.0,11165.270508,10763.287109,-3.544348,0.0,0.0
1095,3383,142,330.612244,0.0,-6.32112,11151.708008,10749.724609,-3.544348,0.0,0.0
405,2189,142,271.836731,0.0,-3.16056,11051.286133,10649.302734,-3.544348,0.0,0.0
910,2971,142,80.816322,0.0,-6.32112,11123.421875,10721.438477,-3.544348,0.0,0.0
1166,2694,142,14.693877,0.0,3.16056,11119.603516,10717.620117,-3.544348,0.0,0.0
462,746,142,257.142853,-3.16056,3.16056,10988.582031,10586.598633,-3.544348,0.0,0.0
3547,448,142,308.571411,0.0,0.0,11088.257812,10686.274414,-3.544348,0.0,0.0
462,2900,142,146.938766,0.0,3.16056,11103.671875,10701.688477,-3.544348,0.0,0.0
2552,185,142,161.632645,0.0,0.0,11014.599609,10612.616211,-3.544348,0.0,0.0
3241,2260,142,7.346939,-3.16056,0.0,11161.719727,10759.736328,-3.544348,0.0,0.0
1763,1855,142,146.938766,0.0,0.0,11118.027344,10716.043945,-3.544348,0.0,0.0
3191,1215,142,308.571411,0.0,15.8028,11153.291016,10751.307617,-3.544348,0.0,0.0
2985,462,142,139.591827,-3.16056,-3.16056,11057.280273,10655.296875,-3.544348,0.0,0.0
3689,3461,142,146.938766,-3.16056,0.0,11251.631836,10849.648438,-3.544348,0.0,0.0
3340,1421,142,308.571411,0.0,3.16056,11174.821289,10772.837891,-3.544348,0.0,0.0
3554,2452,142,161.632645,-3.16056,0.0,11148.472656,10746.489258,-3.544348,0.0,0.0
604,1023,142,58.775509,3.16056,-9.48168,11010.299805,10608.316406,-3.544348,0.0,0.0
1414,1436,142,271.836731,-6.32112,3.16056,11081.270508,10679.287109,-3.544348,0.0,0.0
1869,3113,142,235.102036,0.0,0.0,11161.263672,10759.280273,-3.544348,0.0,0.0
348,1357,142,301.224457,0.0,0.0,11000.758789,10598.775391,-3.544348,0.0,0.0
178,2424,142,323.265289,-3.16056,-3.16056,11055.352539,10653.369141,-3.544348,0.0,0.0
3070,3099,142,301.224457,0.0,0.0,11187.709961,10785.726562,-3.544348,0.0,0.0
2679,1912,142,102.85714,-6.32112,0.0,11154.933594,10752.950195,-3.544348,0.0,0.0
3504,3525,142,168.979584,0.0,3.16056,11245.910156,10843.926758,-3.544348,0.0,0.0
2196,2217,142,102.85714,0.0,0.0,11155.893555,10753.910156,-3.544348,0.0,0.0
2544,704,142,176.326508,0.0,0.0,11061.742188,10659.758789,-3.544348,0.0,0.0
1756,1421,142,308.571411,0.0,-3.16056,11092.931641,10690.948242,-3.544348,0.0,0.0
974,533,142,7.346939,0.0,-3.16056,11014.37207,10612.388672,-3.544348,0.0,0.0
1812,2950,142,58.775509,-3.16056,0.0,11157.723633,10755.740234,-3.544348,0.0,0.0
2445,3383,142,117.551018,0.0,0.0,11174.573242,10772.589844,-3.544348,0.0,0.0
1912,1194,142,80.816322,-9.48168,-12.64224,11082.327148,10680.34375,-3.544348,0.0,0.0
3618,3177,142,7.346939,0.0,0.0,11202.274414,10800.291016,-3.544348,0.0,0.0
3468,3028,142,198.36734,-3.16056,0.0,11183.72168,10781.738281,-3.544348,0.0,0.0
2544,3006,142,264.489777,0.0,-3.16056,11179.808594,10777.825195,-3.544348,0.0,0.0
1549,718,142,154.285706,3.16056,0.0,11044.941406,10642.958008,-3.544348,0.0,0.0
1557,1087,142,213.061203,-3.16056,0.0,11067.519531,10665.536133,-3.544348,0.0,0.0
3618,2537,142,44.081627,0.0,0.0,11146.207031,10744.223633,-3.544348,0.0,0.0
1322,3049,142,110.204079,0.0,0.0,11141.515625,10739.532227,-3.544348,0.0,0.0
597,2701,142,330.612244,0.0,0.0,11094.536133,10692.552734,-3.544348,0.0,0.0
853,2139,142,352.653015,-6.32112,-3.16056,11076.810547,10674.827148,-3.544348,0.0,0.0
3646,1009,142,301.224457,3.16056,3.16056,11185.415039,10783.431641,-3.544348,0.0,0.0
1926,1493,142,352.653015,6.32112,6.32112,11102.745117,10700.761719,-3.544348,0.0,0.0
156,1898,142,323.265289,3.16056,3.16056,11014.512695,10612.529297,-3.544348,0.0,0.0
1997,2950,142,198.36734,0.0,3.16056,11164.802734,10762.819336,-3.544348,0.0,0.0
775,1237,142,315.918365,-9.48168,-3.16056,11032.930664,10630.947266,-3.544348,0.0,0.0
476,640,142,117.551018,0.0,9.48168,10986.366211,10584.382812,-3.544348,0.0,0.0
2509,455,142,345.306091,0.0,-3.16056,11038.553711,10636.570312,-3.544348,0.0,0.0
2580,3532,142,154.285706,-3.16056,3.16056,11177.864258,10775.880859,-3.544348,0.0,0.0
3596,1628,142,22.040813,3.16056,3.16056,11189.870117,10787.886719,-3.544348,0.0,0.0
2786,3227,142,308.571411,0.0,0.0,11185.642578,10783.65918,-3.544348,0.0,0.0
1038,263,142,293.877533,0.0,0.0,11003.106445,10601.123047,-3.544348,0.0,0.0
2679,803,142,36.734692,-3.16056,-3.16056,11077.126953,10675.143555,-3.544348,0.0,0.0
597,2082,142,257.142853,-3.16056,0.0,11057.407227,10655.423828,-3.544348,0.0,0.0
149,533,142,337.959167,3.16056,-3.16056,10958.430664,10556.447266,-3.544348,0.0,0.0
149,2552,142,146.938766,0.0,-3.16056,11064.358398,10662.375,-3.544348,0.0,0.0
1350,1755,142,183.673462,0.0,0.0,11092.479492,10690.496094,-3.544348,0.0,0.0
1805,3355,142,264.489777,0.0,0.0,11160.918945,10758.935547,-3.544348,0.0,0.0
3198,1976,142,95.510201,-3.16056,3.16056,11165.171875,10763.188477,-3.544348,0.0,0.0
2751,739,142,176.326508,9.48168,-3.16056,11075.09375,10673.110352,-3.544348,0.0,0.0
171,3134,142,220.408157,9.48168,3.16056,11114.287109,10712.303711,-3.544348,0.0,0.0
2338,1258,142,95.510201,-6.32112,0.0,11098.819336,10696.835938,-3.544348,0.0,0.0
249,2303,142,257.142853,-6.32112,12.64224,11049.863281,10647.879883,-3.544348,0.0,0.0
1557,3049,142,110.204079,0.0,0.0,11149.802734,10747.819336,-3.544348,0.0,0.0
1649,2495,142,29.387754,6.32112,6.32112,11138.981445,10736.998047,-3.544348,0.0,0.0
1592,2822,142,315.918365,-3.16056,3.16056,11145.427734,10743.444336,-3.544348,0.0,0.0
2210,1180,142,22.040813,3.16056,6.32112,11088.666016,10686.682617,-3.544348,0.0,0.0
3625,2239,142,44.081627,3.16056,-3.16056,11150.794922,10748.811523,-3.544348,0.0,0.0
3397,1137,142,102.85714,-3.16056,-3.16056,11168.884766,10766.901367,-3.544348,0.0,0.0
1649,3042,142,146.938766,-6.32112,-3.16056,11152.966797,10750.983398,-3.544348,0.0,0.0
3440,1230,142,36.734692,0.0,6.32112,11178.742188,10776.758789,-3.544348,0.0,0.0
178,1272,142,352.653015,0.0,0.0,10980.805664,10578.822266,-3.544348,0.0,0.0
206,2090,142,271.836731,0.0,-3.16056,11031.646484,10629.663086,-3.544348,0.0,0.0
967,647,142,242.448975,0.0,3.16056,11019.675781,10617.692383,-3.544348,0.0,0.0
3106,3483,142,0.0,-6.32112,-6.32112,11208.948242,10806.964844,-3.544348,0.0,0.0
1272,1095,142,308.571411,-6.32112,3.16056,11058.104492,10656.121094,-3.544348,0.0,0.0
3625,1891,142,293.877533,0.0,3.16056,11173.728516,10771.745117,-3.544348,0.0,0.0
2616,370,142,36.734692,-6.32112,-3.16056,11033.194336,10631.210938,-3.544348,0.0,0.0
220,888,142,73.469383,0.0,0.0,10971.71582,10569.732422,-3.544348,0.0,0.0
618,675,142,132.244888,-6.32112,-3.16056,10998.271484,10596.288086,-3.544348,0.0,0.0
1230,1002,142,154.285706,0.0,3.16056,11051.40332,10649.419922,-3.544348,0.0,0.0
3141,3198,142,323.265289,0.0,3.16056,11193.969727,10791.986328,-3.544348,0.0,0.0
1322,647,142,146.938766,3.16056,-3.16056,11035.154297,10633.170898,-3.544348,0.0,0.0
3127,1990,142,51.42857,0.0,-3.16056,11164.522461,10762.539062,-3.544348,0.0,0.0
3198,1834,142,315.918365,0.0,0.0,11166.4375,10764.454102,-3.544348,0.0,0.0
1123,817,142,183.673462,-3.16056,0.0,11036.644531,10634.661133,-3.544348,0.0,0.0
3156,2758,142,271.836731,-3.16056,0.0,11172.520508,10770.537109,-3.544348,0.0,0.0
2758,206,142,80.816322,0.0,0.0,11019.220703,10617.237305,-3.544348,0.0,0.0
2473,3490,142,22.040813,-3.16056,-6.32112,11174.036133,10772.052734,-3.544348,0.0,0.0
2708,3369,142,242.448975,9.48168,-6.32112,11184.025391,10782.041992,-3.544348,0.0,0.0
1386,2296,142,110.204079,-12.64224,6.32112,11116.071289,10714.087891,-3.544348,0.0,0.0
3369,434,142,286.530609,9.48168,-3.16056,11074.493164,10672.509766,-3.544348,0.0,0.0
3532,1507,142,36.734692,-3.16056,0.0,11190.03125,10788.047852,-3.544348,0.0,0.0
3141,2409,142,337.959167,-9.48168,-3.16056,11164.827148,10762.84375,-3.544348,0.0,0.0
1940,910,142,80.816322,0.0,-3.16056,11063.375,10661.391602,-3.544348,0.0,0.0
1215,3511,142,146.938766,3.16056,0.0,11159.483398,10757.5,-3.544348,0.0,0.0
3106,718,142,7.346939,0.0,0.0,11097.473633,10695.490234,-3.544348,0.0,0.0
3063,1770,142,110.204079,-3.16056,6.32112,11161.832031,10759.848633,-3.544348,0.0,0.0
171,1507,142,124.897949,0.0,0.0,10991.525391,10589.541992,-3.544348,0.0,0.0
1294,327,142,139.591827,6.32112,-3.16056,11015.116211,10613.132812,-3.544348,0.0,0.0
327,1052,142,293.877533,6.32112,-6.32112,10986.646484,10584.663086,-3.544348,0.0,0.0
1663,2367,142,14.693877,6.32112,-6.32112,11135.412109,10733.428711,-3.544348,0.0,0.0
725,753,142,264.489777,6.32112,-6.32112,11009.075195,10607.091797,-3.544348,0.0,0.0
2978,2985,142,22.040813,12.64224,3.16056,11183.05957,10781.076172,-3.544348,0.0,0.0
2914,519,142,7.346939,-3.16056,-3.16056,11060.599609,10658.616211,-3.544348,0.0,0.0
3596,3340,142,95.510201,-3.16056,3.16056,11225.427734,10823.444336,-3.544348,0.0,0.0
2886,2523,142,132.244888,-6.32112,0.0,11173.198242,10771.214844,-3.544348,0.0,0.0
362,3575,142,264.489777,-3.16056,3.16056,11155.298828,10753.31543,-3.544348,0.0,0.0
3269,2814,142,51.42857,0.0,0.0,11171.886719,10769.90332,-3.544348,0.0,0.0
2296,2701,142,58.775509,6.32112,-3.16056,11173.119141,10771.135742,-3.544348,0.0,0.0
910,220,142,279.183655,0.0,0.0,10995.720703,10593.737305,-3.544348,0.0,0.0
2274,561,142,315.918365,3.16056,-6.32112,11042.832031,10640.848633,-3.544348,0.0,0.0
1407,1237,142,220.408157,-9.48168,3.16056,11070.994141,10669.010742,-3.544348,0.0,0.0
1400,967,142,176.326508,3.16056,3.16056,11056.085938,10654.102539,-3.544348,0.0,0.0
1102,2758,142,205.714279,0.0,0.0,11119.55957,10717.576172,-3.544348,0.0,0.0
483,1414,142,191.020401,0.0,-3.16056,11015.604492,10613.621094,-3.544348,0.0,0.0
313,1535,142,249.795898,-3.16056,-3.16056,11005.99707,10604.013672,-3.544348,0.0,0.0
3269,3468,142,323.265289,-6.32112,-9.48168,11219.831055,10817.847656,-3.544348,0.0,0.0
2182,1585,142,80.816322,6.32112,0.0,11117.542969,10715.55957,-3.544348,0.0,0.0
441,931,142,44.081627,12.64224,3.16056,10992.832031,10590.848633,-3.544348,0.0,0.0
3369,2175,142,308.571411,6.32112,3.16056,11160.12207,10758.138672,-3.544348,0.0,0.0
2367,2324,142,308.571411,3.16056,0.0,11165.874023,10763.890625,-3.544348,0.0,0.0
1180,1208,142,293.877533,-3.16056,3.16056,11059.111328,10657.12793,-3.544348,0.0,0.0
1855,2353,142,264.489777,3.16056,3.16056,11145.671875,10743.688477,-3.544348,0.0,0.0
2040,2196,142,95.510201,3.16056,-3.16056,11148.381836,10746.398438,-3.544348,0.0,0.0
2466,2822,142,88.163254,0.0,0.0,11178.026367,10776.042969,-3.544348,0.0,0.0
924,1876,142,95.510201,-3.16056,-3.16056,11070.27832,10668.294922,-3.544348,0.0,0.0
448,1059,142,22.040813,0.0,3.16056,10997.983398,10596.0,-3.544348,0.0,0.0
3213,839,142,227.755096,-3.16056,0.0,11121.194336,10719.210938,-3.544348,0.0,0.0
2146,2886,142,95.510201,0.0,3.16056,11169.800781,10767.817383,-3.544348,0.0,0.0
625,2310,142,205.714279,-3.16056,0.0,11071.702148,10669.71875,-3.544348,0.0,0.0
1137,2523,142,110.204079,3.16056,0.0,11110.543945,10708.560547,-3.544348,0.0,0.0
839,3013,142,0.0,-12.64224,0.0,11123.699219,10721.71582,-3.544348,0.0,0.0
2786,3021,142,183.673462,-3.16056,-12.64224,11183.024414,10781.041016,-3.544348,0.0,0.0
2189,2011,142,161.632645,0.0,9.48168,11145.154297,10743.170898,-3.544348,0.0,0.0
1230,1976,142,58.775509,0.0,6.32112,11094.124023,10692.140625,-3.544348,0.0,0.0
1784,2132,142,220.408157,0.0,-15.8028,11132.738281,10730.754883,-3.544348,0.0,0.0
1393,476,142,132.244888,-3.16056,6.32112,11026.711914,10624.728516,-3.544348,0.0,0.0
3632,1414,142,286.530609,0.0,0.0,11200.30957,10798.326172,-3.544348,0.0,0.0
1955,789,142,213.061203,9.48168,-9.48168,11055.182617,10653.199219,-3.544348,0.0,0.0
1933,661,142,271.836731,9.48168,-12.64224,11046.041992,10644.058594,-3.544348,0.0,0.0
3340,1919,142,264.489777,0.0,9.48168,11167.87793,10765.894531,-3.544348,0.0,0.0
2154,3525,142,257.142853,0.0,0.0,11165.06543,10763.082031,-3.544348,0.0,0.0
661,2978,142,293.877533,0.0,0.0,11115.736328,10713.75293,-3.544348,0.0,0.0
960,1770,142,146.938766,0.0,0.0,11068.442383,10666.458984,-3.544348,0.0,0.0
3575,803,142,58.775509,-3.16056,6.32112,11152.185547,10750.202148,-3.544348,0.0,0.0
3461,1642,142,205.714279,-3.16056,0.0,11181.369141,10779.385742,-3.544348,0.0,0.0
1955,1933,142,154.285706,-6.32112,0.0,11131.015625,10729.032227,-3.544348,0.0,0.0
3021,3248,142,323.265289,3.16056,-3.16056,11193.060547,10791.077148,-3.544348,0.0,0.0
2530,3383,142,235.102036,3.16056,-3.16056,11177.337891,10775.354492,-3.544348,0.0,0.0
2189,284,142,227.755096,-6.32112,0.0,11020.701172,10618.717773,-3.544348,0.0,0.0
